DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2005,6310,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2006,6475,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2007,6663,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2008,6775,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2009,6627,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2010,6385,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2011,6608,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2012,6168,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2013,6049,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2014,5935,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2015,5680,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2016,5968,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2017,5610,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2018,5547,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2019,5741,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2020,5780,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2021,6034,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2022,5506,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1975,3390,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1976,3254,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1977,3285,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1978,3373,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1979,3351,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1980,3281,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1981,3556,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1982,3423,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1983,3411,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1984,3550,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1985,3588,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1986,3335,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1987,3307,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1988,3346,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1989,3307,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1990,3423,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1991,3416,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1992,3392,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1993,3312,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1994,3347,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1995,3180,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1996,3111,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1997,2909,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1998,2925,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,1999,2976,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2000,2707,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2001,3054,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2002,2985,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2003,2770,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2004,2787,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2005,3080,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2006,3126,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2007,3270,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2008,3322,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2009,3235,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2010,3068,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2011,3203,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2012,3024,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,6: Tasmania,A: Annual,2013,3014,NUM: Number,,
